age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
56,admin.,married,university.degree,no,yes,yes,cellular,nov,tue,147,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8
35,admin.,single,high.school,no,yes,no,cellular,aug,fri,105,1,999,0,nonexistent,-2.9,92.201,-31.4,0.869,5076.2
30,services,married,unknown,unknown,no,no,telephone,jun,wed,93,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
48,admin.,single,university.degree,no,yes,yes,telephone,jul,thu,55,6,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1
37,blue-collar,married,basic.4y,no,no,no,cellular,jul,thu,89,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1
42,technician,married,high.school,no,no,no,telephone,jun,thu,677,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1
49,technician,divorced,professional.course,no,yes,no,cellular,mar,tue,361,2,999,1,failure,-1.8,93.369,-34.8,0.635,5008.7
43,admin.,single,high.school,no,no,no,telephone,jun,thu,73,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
40,blue-collar,divorced,basic.9y,unknown,no,no,telephone,jun,tue,479,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1
26,student,single,basic.9y,no,yes,no,cellular,mar,mon,712,4,999,0,nonexistent,-1.8,92.843,-50.0,1.811,5099.1
44,technician,married,professional.course,no,no,no,cellular,may,mon,72,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1
48,entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,222,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
39,management,divorced,university.degree,unknown,yes,no,telephone,may,tue,205,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
63,retired,married,unknown,no,yes,no,telephone,apr,wed,236,1,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1
44,technician,married,high.school,no,yes,yes,cellular,oct,mon,310,1,999,1,failure,-1.1,94.601,-49.5,1.0,4963.6
46,blue-collar,married,basic.6y,no,no,no,telephone,jun,tue,32,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1
53,unknown,married,high.school,unknown,yes,no,telephone,may,wed,125,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0
